"geoid","income_recode","size_recode","ipf"
"11001010100",7,5,0
"11001010100",8,5,0
"11001010100",9,5,0
"11001009907",1,1,37
"11001009907",2,1,45
"11001009907",3,1,113
"11001009907",4,1,57
"11001009907",5,1,134
"11001009907",6,1,70
"11001009907",7,1,45
"11001009907",8,1,13
"11001009907",9,1,14
"11001009907",1,2,30
"11001009907",2,2,13
"11001009907",3,2,27
"11001009907",4,2,25
"11001009907",5,2,41
"11001009907",6,2,30
"11001009907",7,2,31
"11001009907",8,2,10
"11001009907",9,2,4
"11001009907",1,3,24
"11001009907",2,3,8
"11001009907",3,3,56
"11001009907",4,3,51
"11001009907",5,3,20
"11001009907",6,3,21
"11001009907",7,3,14
"11001009907",8,3,5
"11001009907",9,3,3
"11001009907",1,4,4
"11001009907",2,4,1
"11001009907",3,4,1
"11001009907",4,4,2
"11001009907",5,4,2
"11001009907",6,4,3
"11001009907",7,4,3
"11001009907",8,4,1
"11001009907",9,4,1
"11001009907",1,5,10
"11001009907",2,5,3
"11001009907",3,5,8
"11001009907",4,5,13
"11001009907",5,5,9
"11001009907",6,5,9
"11001009907",7,5,4
"11001009907",8,5,3
"11001009907",9,5,1
"11001009906",1,1,40
"11001009906",2,1,152
"11001009906",3,1,38
"11001009906",4,1,23
"11001009906",5,1,76
"11001009906",6,1,57
"11001009906",7,1,32
"11001009906",8,1,15
"11001009906",9,1,9
"11001009906",1,2,43
"11001009906",2,2,45
"11001009906",3,2,35
"11001009906",4,2,26
"11001009906",5,2,39
"11001009906",6,2,34
"11001009906",7,2,27
"11001009906",8,2,13
"11001009906",9,2,3
"11001009906",1,3,16
"11001009906",2,3,11
"11001009906",3,3,13
"11001009906",4,3,14
"11001009906",5,3,8
"11001009906",6,3,12
"11001009906",7,3,8
"11001009906",8,3,5
"11001009906",9,3,2
"11001009906",1,4,18
"11001009906",2,4,17
"11001009906",3,4,19
"11001009906",4,4,13
"11001009906",5,4,10
"11001009906",6,4,11
"11001009906",7,4,6
"11001009906",8,4,3
"11001009906",9,4,1
"11001009906",1,5,3
"11001009906",2,5,1
"11001009906",3,5,1
"11001009906",4,5,1
"11001009906",5,5,1
"11001009906",6,5,2
"11001009906",7,5,1
"11001009906",8,5,2
"11001009906",9,5,1
"11001009905",1,1,68
"11001009905",2,1,137
"11001009905",3,1,16
"11001009905",4,1,9
"11001009905",5,1,107
"11001009905",6,1,58
"11001009905",7,1,64
"11001009905",8,1,23
"11001009905",9,1,43
"11001009905",1,2,79
"11001009905",2,2,50
